Copyright (C) 2017  Intel Corporation. All rights reserved.
Your use of Intel Corporation's design tools, logic functions 
and other software and tools, and its AMPP partner logic 
functions, and any output files from any of the foregoing 
(including device programming or simulation files), and any 
associated documentation or information are expressly subject 
to the terms and conditions of the Intel Program License 
Subscription Agreement, the Intel Quartus Prime License Agreement,
the Intel FPGA IP License Agreement, or other applicable license
agreement, including, without limitation, that your use is for
the sole purpose of programming logic devices manufactured by
Intel and sold by Intel or its authorized distributors.  Please
refer to the applicable agreement for further details.

Fitter Resource Usage Summary

Resource,Usage
Total logic elements,"471 / 114,480 ( < 1 % )"
    -- Combinational with no register,101
    -- Register only,183
    -- Combinational with a register,187
,
Logic element usage by number of LUT inputs,
    -- 4 input functions,162
    -- 3 input functions,84
    -- <=2 input functions,42
    -- Register only,183
,
Logic elements by mode,
    -- normal mode,251
    -- arithmetic mode,37
,
Total registers*  ,"370 / 117,053 ( < 1 % )"
    -- Dedicated logic registers,"370 / 114,480 ( < 1 % )"
    -- I/O registers,"0 / 2,573 ( 0 % )"
,
Total LABs:  partially or completely used,"34 / 7,155 ( < 1 % )"
Virtual pins,0
I/O pins,39 / 529 ( 7 % )
    -- Clock pins ,1 / 7 ( 14 % )
    -- Dedicated input pins ,0 / 9 ( 0 % )
 , 
M9Ks,1 / 432 ( < 1 % )
Total block memory bits,"306 / 3,981,312 ( < 1 % )"
Total block memory implementation bits,"9,216 / 3,981,312 ( < 1 % )"
Embedded Multiplier 9-bit elements,2 / 532 ( < 1 % )
PLLs,0 / 4 ( 0 % )
Global signals ,2
    -- Global clocks,2 / 20 ( 10 % )
JTAGs,0 / 1 ( 0 % )
CRC blocks,0 / 1 ( 0 % )
ASMI blocks,0 / 1 ( 0 % )
Oscillator blocks,0 / 1 ( 0 % )
Impedance control blocks,0 / 4 ( 0 % )
Average interconnect usage (total/H/V),0.1% / 0.1% / 0.1%
Peak interconnect usage (total/H/V),2.9% / 2.9% / 2.9%
Maximum fan-out,371
Highest non-global fan-out,274
Total fan-out,2250
Average fan-out,2.63
